REGION,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
Langeland,13741,13674,13658,13592,13563,13544,13557,13515,13510,13493,13475,13384,13322,13243,13208,13141,13094,13016,13005,12939,12861,12814,12803,12736,12695,12660,12654,12657,12647,12578,12576,12534,12547,12551,12592,12536,12578,12553,12577,12605,12641,12585,12609,12579,12560,12568,12547,12505
Middelfart,37274,37321,37412,37545,37625,37622,37680,37664,37661,37642,37650,37618,37701,37692,37678,37557,37612,37607,37704,37567,37523,37595,37645,37583,37685,37722,37874,37826,37857,37890,37981,37857,37913,37930,38041,38011,38093,38159,38123,38122,38210,38259,38363,38447,38553,38706,38862,38796
Nordfyns,29470,29495,29642,29703,29651,29600,29712,29671,29638,29573,29526,29561,29507,29437,29502,29444,29330,29337,29264,29213,29224,29071,29106,29095,29066,29022,29053,29026,29030,29101,29268,29259,29298,29245,29374,29447,29446,29532,29607,29587,29516,29518,29624,29774,29693,29722,29764,29728
Nyborg,31607,31630,31665,31682,31714,31708,31753,31692,31690,31650,31602,31552,31499,31581,31534,31508,31486,31429,31394,31351,31350,31295,31293,31251,31314,31321,31396,31465,31573,31606,31733,31757,31886,31970,32036,32104,32142,32091,32068,32018,32032,32012,32032,32057,32042,32035,31974,31991
Odense,186932,186950,186886,187783,187929,188153,187884,188703,188777,188907,189058,190147,190245,190448,190103,191400,191610,191903,191692,193174,193370,193780,193641,195598,195797,196090,195908,197513,197480,197600,197466,198912,198972,199415,199235,200917,200563,200695,200703,202250,202348,202506,202663,204080,204182,204170,204120,205297
Svendborg,59040,59105,59154,59255,59185,59129,59103,59104,58998,58921,58925,58846,58713,58733,58714,58612,58551,58545,58485,58368,58296,58207,58094,58011,57979,57993,57978,57908,57988,58110,58086,58206,58228,58369,58393,58547,58510,58621,58627,58620,58698,58716,58707,58661,58599,58584,58513,58485
Ærø,6712,6667,6688,6715,6698,6676,6665,6709,6679,6689,6670,6691,6663,6658,6626,6650,6636,6633,6607,6574,6527,6491,6460,6406,6393,6365,6322,6285,6276,6278,6264,6286,6290,6248,6231,6187,6177,6173,6169,6199,6178,6155,6110,6089,6058,6013,6033,5990
Billund,26181,26218,26267,26247,26235,26229,26306,26279,26160,26195,26226,26132,26155,26234,26271,26216,26220,26303,26353,26360,26357,26377,26403,26268,26318,26344,26399,26278,26285,26336,26363,26355,26434,26538,26562,26498,26481,26509,26520,26491,26482,26549,26618,26563,26629,26699,26699,26615
Esbjerg,114244,114390,114398,114543,114595,114651,114806,114882,115114,115049,115129,115258,115184,115169,115184,115194,115112,115097,115105,115139,115051,114931,115041,115046,115095,115232,115272,115397,115446,115484,115558,115659,115748,115914,115987,115957,115905,115859,115932,116045,116032,116054,116061,115912,115652,115658,115675,115565
Fanø,3192,3210,3233,3216,3207,3204,3241,3235,3219,3219,3245,3217,3213,3210,3231,3237,3251,3236,3245,3227,3237,3243,3249,3251,3264,3258,3256,3275,3263,3246,3293,3293,3290,3302,3337,3360,3345,3346,3370,3403,3401,3419,3414,3426,3404,3416,3475,3487
